Х1,Х2,Y
33.60,0.29,0.00
9.92,0.35,0.00
17.58,0.32,0.00
20.62,0.15,0.00
24.92,0.25,0.00
10.01,0.37,0.00
17.75,0.34,0.00
36.59,0.37,0.00
43.41,0.20,0.00
28.97,0.48,0.00
11.04,0.39,0.00
22.34,0.73,0.00
23.36,0.51,0.00
8.32,0.29,0.00
7.52,0.38,0.00
10.37,0.30,0.00
9.31,0.47,0.00
8.36,0.35,0.00
19.38,0.47,0.00
16.71,0.21,0.00
21.01,0.23,0.00
25.74,0.15,0.00
6.34,0.34,0.00
1.40,0.17,0.00
34.95,0.46,0.00
40.00,0.04,0.00
5.12,0.41,0.00
8.30,0.40,0.00
10.99,0.51,0.00
3.86,0.23,0.00
9.22,0.27,0.00
0.44,-0.20,1.00
1.40,0.24,1.00
2.84,-2.91,1.00
4.99,-0.01,1.00
10.02,-0.26,1.00
0.72,-0.27,1.00
2.81,-0.62,1.00
0.17,-0.70,1.00
0.17,-1.43,1.00
0.30,-1.36,1.00
5.75,-2.71,1.00
0.05,0.56,1.00
2.74,-0.10,1.00
0.44,-9.64,1.00
1.11,-0.48,1.00
0.14,-0.08,1.00
4.90,-0.28,1.00
0.58,0.35,1.00
0.02,-0.24,1.00
0.87,-1.98,1.00
6.08,-0.28,1.00
0.80,0.12,1.00
0.00,-0.28,1.00
1.85,-0.17,1.00
0.92,-0.48,1.00
1.66,-1.41,1.00
0.02,-4.44,1.00
0.16,0.02,1.00
0.15,-1.15,1.00
0.00,-1.23,1.00
0.37,-0.23,1.00
